COLUNA;DESCRICAO
INSTITUICAO_ENSINO_ALUNO_2020;Mostra instituição de Ensino do Aluno em 2020
NOME;Nome do Aluno (Dados estão Anonimizados)
IDADE_ALUNO_2020;Idade do Aluno em 2020
ANOS_NA_PM_2020;Tempo (Em Anos) que o Alunos está na Passos Mágicos em 2020
FASE_TURMA_2020;"Fase e Turma do Aluno na Passos Mágicos em 2020; Fase está relacionado ao Nível de Aprendizado, enquanto Turma é dado pela quantidade de turmas que existam daquela fase/nível"
PONTO_VIRADA_2020;Campo do Tipo Booleano que sinaliza se o Aluno atingiu o “Ponto de Virada” em 2020
INDE_2020;"Índice do Desenvolvimento Educacional – Métrica de Processo Avaliativo Geral do Aluno; Dado pela Ponderação dos indicadores: IAN, IDA, IEG, IAA, IPS, IPP e IPV em 2020"
INDE_CONCEITO_2020;
PEDRA_2020;Classificação do Aluno baseado no número do INDE, o conceito de classificação é dado por: Quartzo – 2,405 a 5,506, Agata – 5,506 a 6,868 Ametista – 6,868 a 8,230 e Topázio – 8,230 a 9,294. Cada Pedra possui uma descrição
DESTAQUE_IEG_2020;"Observaço˜es dos Avaliadores Sobre o Aluno referente ao ""Indicador de Engajamento” em 2020"
DESTAQUE_IDA_2020;Observações dos Avaliadores Sobre o Aluno referente ao “Indicador de Aprendizagem” em 2020
DESTAQUE_IPV_2020;Observações dos Avaliadores Sobre o Aluno referente ao “Indicador de Ponto de Virada” em 2020
IAA_2020;Indicador de Auto Avalição – Média das Notas de Auto Avaliação do Aluno em 2020
IEG_2020;Indicador de Engajamento – Média das Notas de Engajamento do Aluno em 2020
IPS_2020;Indicador Psicossocial – Média das Notas Psicossociais
;do Aluno em 2020
IDA_2020;Indicador de Aprendizagem - Média das Notas do Indicador de Aprendizagem
IPP_2020;Indicador Psicopedagógico – Média das Notas Psico
;Pedagógicas do Aluno em 2020
IPV_2020;Indicador de Ponto de Virada – Média das Notas de Ponto de Virada do Aluno em 2020
IAN_2020;Indicador de Adequação ao Nível – Média das Notas de Adequação do Aluno ao nível atual em 2020
FASE_2021;Fase é o Nível de Aprendizado do Aluno em 2021
TURMA_2021;Turma é o número da Turma de cada fase (1A,1B,1C)
INSTITUICAO_ENSINO_ALUNO_2021;Mostra instituição de Ensino do Aluno em 2021
SINALIZADOR_INGRESSANTE_2021;Mostra se o Aluno Ingressou ou é Veterano no ano de 2021
PEDRA_2021;Classificação do Aluno baseado no número do INDE, o conceito de classificação é dado por: Quartzo – 2,405 a 5,506, Agata – 5,506 a 6,868 Ametista – 6,868 a 8,230 e Topázio – 8,230 a 9,294. Cada Pedra possui uma descrição
INDE_2021;"Índice do Desenvolvimento Educacional – Métrica de Processo Avaliativo Geral do Aluno; Dado pela"
;Ponderação dos indicadores: IAN, IDA, IEG, IAA, IPS, IPP e IPV em 2021
IAA_2021;Indicador de Auto Avalição – Média das Notas de Auto Avaliação do Aluno em 2021
IEG_2021;Indicador de Engajamento – Média das Notas de Engajamento do Aluno em 2021
IPS_2021;Indicador Psicossocial – Média das Notas Psicossociais do Aluno em 2021
REC_PSICO_2021;Mostra qual a recomendação da equipe de psicologia sobre o Aluno em 2021
IDA_2021;Indicador de Aprendizagem - Média das Notas do Indicador de Aprendizagem em 2021
IPP_2021;Indicador Psicopedagógico – Média das Notas
;Psicopedagógicas do Aluno em 2021
REC_EQUIPE_1_2021;Recomendação da Equipe de Avalição 1 em 2021
REC_EQUIPE_2_2021;Recomendação da Equipe de Avalição 2 em 2021
REC_EQUIPE_3_2021;Recomendaão da Equipe de Avalição 3 em 2021
REC_EQUIPE_4_2021;Recomendação da Equipe de Avalição 3 em 2021
PONTO_VIRADA_2021;Campo do Tipo Booleano que sinaliza se o Aluno atingiu o “Ponto de Virada” em 2021
IPV_2021;Indicador de Ponto de Virada – Média das Notas de Ponto de Virada do Aluno em 2021
IAN_2021;Indicador de Adequação ao Nível – Média das Notas de Adequação do Aluno ao nível atual em 2021
NIVEL_IDEAL_2021;Mostra qual o nível (Fase) ideal do Aluno na Passos Mágicos em 2021
DEFASAGEM_2021;Mostra o nível de defasagem do ano em 2021
FASE_2022;Fase é o Nível de Aprendizado do Aluno
TURMA_2022;Turma é o número da Turma de cada fase (1A,1B,1C)
