turma;unidade
0A;Centro
0A;Centro
0A;Centro
0A;Centro
0A;Centro
0A;Centro
0A;Centro
0A;Centro
0A;Centro
0A;Centro
0B;Centro
0B;Centro
0B;Centro
0B;Centro
0B;Centro
0B;Centro
0B;Centro
0B;Centro
0B;Centro
0B;Centro
0B;Centro
0B;Centro
0C;Centro
0C;Centro
0C;Centro
0C;Centro
0C;Centro
0C;Centro
0C;Centro
0C;Centro
0C;Centro
0C;Centro
0C;Centro
0C;Centro
0D;Centro
0D;Centro
0D;Centro
0D;Centro
0D;Centro
0D;Centro
0D;Centro
0D;Centro
0D;Centro
0D;Centro
0D;Centro
0D;Centro
0E;Centro
0E;Centro
0E;Centro
0E;Centro
0E;Centro
0E;Centro
0E;Centro
0E;Centro
0E;Centro
0E;Centro
0E;Centro
0F;Filipinho
0F;Filipinho
0F;Filipinho
0F;Filipinho
0F;Filipinho
0F;Filipinho
0F;Filipinho
0F;Filipinho
0G;Filipinho
0G;Filipinho
0G;Filipinho
0G;Filipinho
0G;Filipinho
0G;Filipinho
0G;Filipinho
0G;Filipinho
0G;Filipinho
0G;Filipinho
0H;Filipinho
0H;Filipinho
0H;Filipinho
0H;Filipinho
0H;Filipinho
0H;Filipinho
0H;Filipinho
0H;Filipinho
0H;Filipinho
0H;Filipinho
0I;Filipinho
0I;Filipinho
0I;Filipinho
0I;Filipinho
0I;Filipinho
0I;Filipinho
0I;Filipinho
0I;Filipinho
0I;Filipinho
0I;Filipinho
0I;Filipinho
0I;Filipinho
0J;Filipinho
0J;Filipinho
0J;Filipinho
0J;Filipinho
0J;Filipinho
0J;Filipinho
0J;Filipinho
0J;Filipinho
0J;Filipinho
0J;Filipinho
0K;Cipó
0K;Cipó
0K;Cipó
0K;Cipó
0K;Cipó
0K;Cipó
0K;Cipó
0K;Cipó
0K;Cipó
0K;Cipó
0K;Cipó
0K;Cipó
0L;Cipó
0L;Cipó
0L;Cipó
0L;Cipó
0L;Cipó
0L;Cipó
0L;Cipó
0L;Cipó
0L;Cipó
0L;Cipó
0L;Cipó
0M;Cipó
0M;Cipó
0M;Cipó
0M;Cipó
0M;Cipó
0M;Cipó
0M;Cipó
0N;Cipó
0N;Cipó
0N;Cipó
0N;Cipó
0N;Cipó
0N;Cipó
0N;Cipó
0N;Cipó
0N;Cipó
0N;Cipó
0N;Cipó
0O;Cipó
0O;Cipó
0O;Cipó
0O;Cipó
0O;Cipó
0O;Cipó
0O;Cipó
0O;Cipó
0O;Cipó
0Q;Granjinha
0Q;Granjinha
0Q;Granjinha
0Q;Granjinha
0Q;Granjinha
0Q;Granjinha
0Q;Granjinha
0Q;Granjinha
0Q;Granjinha
0Q;Granjinha
0Q;Granjinha
0R;Granjinha
0R;Granjinha
0R;Granjinha
0R;Granjinha
0R;Granjinha
0R;Granjinha
0R;Granjinha
0R;Granjinha
0R;Granjinha
0R;Granjinha
0S;Granjinha
0S;Granjinha
0S;Granjinha
0S;Granjinha
0S;Granjinha
0S;Granjinha
0S;Granjinha
0S;Granjinha
0T;Centro
0T;Centro
0T;Centro
0T;Centro
0T;Centro
0T;Centro
0T;Centro
0T;Centro
0T;Centro
0T;Centro
0U;Cipó
0U;Cipó
0U;Cipó
0U;Cipó
0U;Cipó
0U;Cipó
0U;Cipó
0U;Cipó
0U;Cipó
0U;Cipó
0Y;Centro
0Y;Centro
0Y;Centro
0Y;Centro
0Y;Centro
0Y;Centro
0Y;Centro
0Y;Centro
 1A ;Centro
 1A ;Centro
 1A ;Centro
 1A ;Centro
 1A ;Centro
 1A ;Centro
 1A ;Centro
 1A ;Centro
 1A ;Centro
 1A ;Centro
 1A ;Centro
 1A ;Centro
 1A ;Centro
 1A ;Centro
 1B ;Centro
 1B ;Centro
 1B ;Centro
 1B ;Centro
 1B ;Centro
 1B ;Centro
 1B ;Centro
 1B ;Centro
 1B ;Centro
 1B ;Centro
 1B ;Centro
 1B ;Centro
 1B ;Centro
 1B ;Centro
 1B ;Centro
 1C ;Centro
 1C ;Centro
 1C ;Centro
 1C ;Centro
 1C ;Centro
 1C ;Centro
 1C ;Centro
 1C ;Centro
 1C ;Centro
 1C ;Centro
 1C ;Centro
 1C ;Centro
 1C ;Centro
 1C ;Centro
 1C ;Centro
 1D ;Centro
 1D ;Centro
 1D ;Centro
 1D ;Centro
 1D ;Centro
 1D ;Centro
 1D ;Centro
 1D ;Centro
 1D ;Centro
 1D ;Centro
 1D ;Centro
 1D ;Centro
 1D ;Centro
 1E ;Centro
 1E ;Centro
 1E ;Centro
 1E ;Centro
 1E ;Centro
 1E ;Centro
 1E ;Centro
 1E ;Centro
 1E ;Centro
 1E ;Centro
 1E ;Centro
 1E ;Centro
 1E ;Centro
 1F ;Filipinho
 1F ;Filipinho
 1F ;Filipinho
 1F ;Filipinho
 1F ;Filipinho
 1G ;Filipinho
 1G ;Filipinho
 1G ;Filipinho
 1G ;Filipinho
 1G ;Filipinho
 1G ;Filipinho
 1G ;Filipinho
 1G ;Filipinho
 1G ;Filipinho
 1G ;Filipinho
 1G ;Filipinho
 1G ;Filipinho
 1G ;Filipinho
 1G ;Filipinho
 1G ;Filipinho
 1G ;Filipinho
 1H ;Filipinho
 1H ;Filipinho
 1H ;Filipinho
 1H ;Filipinho
 1H ;Filipinho
 1H ;Filipinho
 1H ;Filipinho
 1H ;Filipinho
 1H ;Filipinho
 1H ;Filipinho
 1H ;Filipinho
 1H ;Filipinho
 1H ;Filipinho
 1H ;Filipinho
 1H ;Filipinho
 1J ;Filipinho
 1J ;Filipinho
 1J ;Filipinho
 1J ;Filipinho
 1J ;Filipinho
 1J ;Filipinho
 1J ;Filipinho
 1J ;Filipinho
 1J ;Filipinho
 1J ;Filipinho
 1J ;Filipinho
 1J ;Filipinho
 1J ;Filipinho
 1J ;Filipinho
 1K ;Cipó
 1K ;Cipó
 1K ;Cipó
 1K ;Cipó
 1K ;Cipó
 1K ;Cipó
 1K ;Cipó
 1K ;Cipó
 1K ;Cipó
 1K ;Cipó
 1K ;Cipó
 1K ;Cipó
 1K ;Cipó
 1K ;Cipó
 1L ;Cipó
 1L ;Cipó
 1L ;Cipó
 1L ;Cipó
 1L ;Cipó
 1L ;Cipó
 1L ;Cipó
 1L ;Cipó
 1L ;Cipó
 1L ;Cipó
 1L ;Cipó
 1L ;Cipó
 1L ;Cipó
 1L ;Cipó
 1M ;Cipó
 1M ;Cipó
 1M ;Cipó
 1M ;Cipó
 1M ;Cipó
 1M ;Cipó
 1M ;Cipó
 1M ;Cipó
 1M ;Cipó
 1M ;Cipó
 1M ;Cipó
 1M ;Cipó
 1M ;Cipó
 1M ;Cipó
 1M ;Cipó
 1N ;Cipó
 1N ;Cipó
 1N ;Cipó
 1N ;Cipó
 1N ;Cipó
 1N ;Cipó
 1N ;Cipó
 1N ;Cipó
 1N ;Cipó
 1N ;Cipó
 1N ;Cipó
 1N ;Cipó
 1N ;Cipó
 1N ;Cipó
 1P ;Granjinha
 1P ;Granjinha
 1P ;Granjinha
 1P ;Granjinha
 1P ;Granjinha
 1P ;Granjinha
 1P ;Granjinha
 1P ;Granjinha
 1P ;Granjinha
 1R ;Granjinha
 1R ;Granjinha
 1R ;Granjinha
 1R ;Granjinha
 1R ;Granjinha
 1R ;Granjinha
 1R ;Granjinha
 1R ;Granjinha
 1R ;Granjinha
 1R ;Granjinha
 1R ;Granjinha
 1R ;Granjinha
 1R ;Granjinha
 1R ;Granjinha
 1R ;Granjinha
 2A ;Centro
 2A ;Centro
 2A ;Centro
 2A ;Centro
 2A ;Centro
 2A ;Centro
 2A ;Centro
 2A ;Centro
 2A ;Centro
 2A ;Centro
 2A ;Centro
 2A ;Centro
 2A ;Centro
 2B ;Centro
 2B ;Centro
 2B ;Centro
 2B ;Centro
 2B ;Centro
 2B ;Centro
 2B ;Centro
 2B ;Centro
 2B ;Centro
 2B ;Centro
 2B ;Centro
 2B ;Centro
 2B ;Centro
 2B ;Centro
 2B ;Centro
 2C ;Centro
 2C ;Centro
 2C ;Centro
 2C ;Centro
 2C ;Centro
 2C ;Centro
 2C ;Centro
 2C ;Centro
 2C ;Centro
 2D ;Centro
 2D ;Centro
 2D ;Centro
 2D ;Centro
 2D ;Centro
 2D ;Centro
 2D ;Centro
 2D ;Centro
 2D ;Centro
 2D ;Centro
 2D ;Centro
 2D ;Centro
 2D ;Centro
 2D ;Centro
 2D ;Centro
 2G ;Filipinho
 2G ;Filipinho
 2G ;Filipinho
 2G ;Filipinho
 2G ;Filipinho
 2G ;Filipinho
 2G ;Filipinho
 2G ;Filipinho
 2G ;Filipinho
 2G ;Filipinho
 2G ;Filipinho
 2G ;Filipinho
 2G ;Filipinho
 2H ;Filipinho
 2H ;Filipinho
 2H ;Filipinho
 2H ;Filipinho
 2H ;Filipinho
 2H ;Filipinho
 2H ;Filipinho
 2H ;Filipinho
 2H ;Filipinho
 2H ;Filipinho
 2H ;Filipinho
 2H ;Filipinho
 2H ;Filipinho
 2H ;Filipinho
 2H ;Filipinho
 2I ;Filipinho
 2I ;Filipinho
 2I ;Filipinho
 2I ;Filipinho
 2I ;Filipinho
 2I ;Filipinho
 2I ;Filipinho
 2I ;Filipinho
 2K  ;Cipó
 2K  ;Cipó
 2K  ;Cipó
 2K  ;Cipó
 2K  ;Cipó
 2K  ;Cipó
 2K  ;Cipó
 2K  ;Cipó
 2K  ;Cipó
 2K  ;Cipó
 2K  ;Cipó
 2K  ;Cipó
 2K  ;Cipó
 2K  ;Cipó
 2K  ;Cipó
 2L ;Cipó
 2L ;Cipó
 2L ;Cipó
 2L ;Cipó
 2L ;Cipó
 2L ;Cipó
 2L ;Cipó
 2L ;Cipó
 2L ;Cipó
 2L ;Cipó
 2L ;Cipó
 2L ;Cipó
 2L ;Cipó
 2L ;Cipó
 2L ;Cipó
 2L ;Cipó
 2M  ;Cipó
 2M  ;Cipó
 2M  ;Cipó
 2M  ;Cipó
 2M  ;Cipó
 2M  ;Cipó
 2M  ;Cipó
 2M  ;Cipó
 2M  ;Cipó
 2M  ;Cipó
 2M  ;Cipó
 2M  ;Cipó
 2M  ;Cipó
 2M  ;Cipó
 2N ;Cipó
 2N ;Cipó
 2N ;Cipó
 2N ;Cipó
 2N ;Cipó
 2N ;Cipó
 2N ;Cipó
 2N ;Cipó
 2N ;Cipó
 2N ;Cipó
 2N ;Cipó
 2N ;Cipó
 2N ;Cipó
 2N ;Cipó
 2P ;Granjinha
 2P ;Granjinha
 2P ;Granjinha
 2P ;Granjinha
 2P ;Granjinha
 2P ;Granjinha
 2P ;Granjinha
 2P ;Granjinha
 2P ;Granjinha
 2P ;Granjinha
 2P ;Granjinha
 2P ;Granjinha
 2P ;Granjinha
 2P ;Granjinha
 2P ;Granjinha
 2P ;Granjinha
 2R ;Granjinha
 2R ;Granjinha
 2R ;Granjinha
 2R ;Granjinha
 2R ;Granjinha
 2R ;Granjinha
 2R ;Granjinha
 2R ;Granjinha
 2R ;Granjinha
 2R ;Granjinha
 2R ;Granjinha
 2R ;Granjinha
 2U ;Cipó
 2U ;Cipó
 2U ;Cipó
 2U ;Cipó
 2U ;Cipó
 2U ;Cipó
 2U ;Cipó
 2U ;Cipó
 2U ;Cipó
 2U ;Cipó
 2U ;Cipó
 2U ;Cipó
 2U ;Cipó
 2U ;Cipó
 2U ;Cipó
 2U ;Cipó
 3A ;Centro
 3A ;Centro
 3A ;Centro
 3A ;Centro
 3A ;Centro
 3A ;Centro
 3A ;Centro
 3A ;Centro
 3A ;Centro
 3A ;Centro
 3A ;Centro
 3A ;Centro
 3A ;Centro
 3A ;Centro
 3A ;Centro
 3A ;Centro
 3B ;Centro
 3B ;Centro
 3B ;Centro
 3B ;Centro
 3B ;Centro
 3B ;Centro
 3B ;Centro
 3B ;Centro
 3B ;Centro
 3B ;Centro
 3B ;Centro
 3B ;Centro
 3B ;Centro
 3B ;Centro
 3B ;Centro
 3C ;Centro
 3C ;Centro
 3C ;Centro
 3C ;Centro
 3C ;Centro
 3C ;Centro
 3C ;Centro
 3C ;Centro
 3C ;Centro
 3C ;Centro
 3C ;Centro
 3C ;Centro
 3C ;Centro
 3C ;Centro
 3C ;Centro
 3C ;Centro
 3C ;Centro
 3D ;Centro
 3D ;Centro
 3D ;Centro
 3D ;Centro
 3D ;Centro
 3D ;Centro
 3D ;Centro
 3D ;Centro
 3D ;Centro
 3D ;Centro
 3D ;Centro
 3D ;Centro
 3D ;Centro
 3D ;Centro
 3D ;Centro
 3F ;Filipinho
 3F ;Filipinho
 3F ;Filipinho
 3F ;Filipinho
 3F ;Filipinho
 3F ;Filipinho
 3F ;Filipinho
 3F ;Filipinho
 3F ;Filipinho
 3F ;Filipinho
 3F ;Filipinho
